MM 	 DD 	 Description 	    Progress
12	29	 官方帳號整體感覺很像詐騙	 Open
12	29	 記賬失敗訊息太兇，要溫柔一點	 Open
12	30	 user輸入口香糖2222，如果user遲遲不選擇科目歸類邏輯的話，就自動寫到999其他	 Open
12	30	 如果user遲遲不選擇支付方式歸類邏輯的話，就自動寫到other錢包去	 Open
12	30	 user輸入口香糖9,999，系統跳出檢測到未知支付方式,999。系統需要能夠分辨到百兆分位	 Closed
12	30	 user輸入記帳後若隔5分鐘未進行科目或支付歸類邏輯的話就取消記帳並顯示記帳取消	 Open
12	30	 log不要加時間	 Open
12	31	 user輸入口香糖9,999，系統跳出檢測到未知支付方式,999。系統需要能夠分辨到無限分位	 Open
